user_id,age,gender,occupation,income,interests,city
1,41,Male,Unemployed,74556,Technology,Rome
2,22,Male,Unemployed,45083,Travel,Verona
3,54,Female,Unemployed,26458,Travel,Taranto
4,67,Other,Doctor,137250,Technology,Florence
5,66,Other,Unemployed,138652,Fashion,Brescia
6,18,Male,Doctor,132425,Travel,Genoa
7,37,Other,Teacher,60737,Finance,Venice
8,24,Male,Unemployed,94565,Finance,Verona
9,53,Other,Teacher,65586,Sports,Padua
10,35,Other,Unemployed,112883,Sports,Taranto
11,56,Male,Engineer,82378,Fashion,Naples
12,62,Male,Artist,142607,Politics,Taranto
13,29,Male,Artist,93848,Politics,Genoa
14,20,Male,Doctor,36928,Finance,Verona
15,39,Other,Lawyer,34787,Technology,Turin
16,30,Other,Unemployed,85307,Politics,Florence
17,37,Female,Doctor,140786,Politics,Padua
18,27,Other,Lawyer,33286,Technology,Rome
19,22,Other,Lawyer,61630,Sports,Florence
20,35,Other,Doctor,36018,Finance,Parma
21,43,Female,Teacher,148512,Travel,Bologna
22,42,Female,Lawyer,27766,Travel,Bologna
23,26,Female,Engineer,107197,Sports,Messina
24,60,Male,Engineer,87141,Finance,Palermo
25,67,Other,Engineer,86123,Sports,Brescia
26,43,Other,Artist,82819,Politics,Trieste
27,20,Other,Lawyer,51576,Travel,Turin
28,39,Female,Teacher,115939,Technology,Rome
29,68,Male,Doctor,22940,Finance,Milan
30,46,Female,Doctor,67305,Finance,Trieste
31,57,Male,Engineer,111196,Politics,Verona
32,60,Male,Unemployed,142927,Travel,Brescia
33,50,Other,Doctor,85163,Finance,Padua
34,57,Female,Lawyer,138051,Sports,Naples
35,50,Other,Artist,57212,Technology,Trieste
36,59,Male,Artist,113533,Sports,Rome
37,26,Female,Engineer,101096,Fashion,Parma
38,54,Male,Teacher,106370,Travel,Catania
39,40,Female,Unemployed,55723,Technology,Parma
40,25,Male,Artist,95566,Finance,Rome
41,54,Male,Unemployed,45559,Fashion,Parma
42,47,Female,Artist,73162,Finance,Genoa
43,27,Male,Unemployed,60760,Travel,Milan
44,40,Other,Teacher,86263,Fashion,Palermo
45,44,Female,Unemployed,89324,Travel,Turin
46,65,Male,Unemployed,76351,Sports,Turin
47,38,Female,Engineer,63518,Sports,Naples
48,38,Female,Doctor,29076,Finance,Catania
49,21,Male,Engineer,146259,Finance,Palermo
50,29,Female,Engineer,25877,Finance,Modena
51,20,Male,Unemployed,35853,Finance,Taranto
52,38,Other,Artist,81146,Technology,Messina
53,58,Other,Engineer,109761,Fashion,Genoa
54,59,Other,Unemployed,117148,Travel,Catania
55,64,Male,Unemployed,34776,Sports,Naples
56,20,Other,Unemployed,71400,Sports,Brescia
57,43,Female,Lawyer,129064,Sports,Rome
58,61,Female,Teacher,29461,Politics,Genoa
59,69,Male,Lawyer,144826,Travel,Trieste
60,31,Male,Artist,138194,Politics,Florence
61,63,Female,Teacher,147812,Fashion,Rome
62,68,Female,Unemployed,47926,Technology,Modena
63,18,Female,Doctor,149330,Politics,Venice
64,34,Male,Unemployed,38418,Politics,Venice
65,67,Female,Lawyer,102228,Travel,Milan
66,22,Female,Teacher,67251,Technology,Venice
67,33,Female,Teacher,126530,Sports,Parma
68,56,Male,Unemployed,119045,Sports,Parma
69,62,Female,Engineer,33491,Travel,Parma
70,20,Female,Engineer,58114,Politics,Bologna
71,49,Other,Doctor,47942,Sports,Trieste
72,54,Female,Teacher,109125,Finance,Trieste
73,45,Other,Lawyer,35347,Fashion,Messina
74,32,Other,Unemployed,111076,Politics,Brescia
75,58,Other,Teacher,104789,Finance,Taranto
76,68,Other,Artist,107716,Technology,Modena
77,22,Female,Doctor,46641,Politics,Bologna
78,20,Other,Doctor,143935,Finance,Florence
79,38,Male,Teacher,22442,Travel,Genoa
80,57,Male,Engineer,81449,Politics,Catania
81,56,Female,Engineer,133835,Technology,Florence
82,50,Other,Lawyer,67690,Politics,Reggio Calabria
83,23,Female,Doctor,97985,Politics,Venice
84,37,Other,Teacher,109160,Finance,Venice
85,35,Other,Artist,51681,Finance,Brescia
86,64,Male,Artist,113143,Fashion,Verona
87,63,Male,Teacher,97550,Sports,Rome
88,48,Female,Teacher,53808,Finance,Bari
89,44,Female,Engineer,45542,Travel,Messina
90,23,Female,Artist,104841,Fashion,Rome
91,31,Other,Unemployed,67747,Politics,Modena
92,49,Other,Unemployed,144994,Sports,Verona
93,24,Other,Doctor,69180,Technology,Catania
94,30,Female,Teacher,137735,Travel,Bologna
95,65,Other,Doctor,83426,Fashion,Naples
96,67,Female,Teacher,87421,Sports,Modena
97,27,Male,Unemployed,139868,Politics,Catania
98,45,Female,Artist,50092,Technology,Rome
99,49,Male,Teacher,144078,Sports,Florence
100,25,Female,Teacher,61469,Fashion,Taranto
101,65,Male,Doctor,100412,Sports,Milan
102,66,Other,Unemployed,92862,Politics,Bari
103,66,Female,Doctor,37854,Sports,Taranto
104,32,Male,Artist,40592,Politics,Modena
105,64,Other,Lawyer,29738,Politics,Brescia
106,62,Male,Doctor,145874,Politics,Brescia
107,24,Other,Engineer,117319,Fashion,Padua
108,41,Male,Unemployed,136619,Politics,Reggio Calabria
109,28,Other,Teacher,144272,Sports,Naples
110,23,Male,Engineer,122345,Travel,Padua
111,68,Female,Teacher,118944,Finance,Florence
112,46,Male,Unemployed,34605,Finance,Milan
113,41,Male,Unemployed,23772,Politics,Trieste
114,41,Other,Engineer,130824,Politics,Bari
115,44,Female,Unemployed,97283,Sports,Rome
116,55,Male,Teacher,44929,Sports,Milan
117,59,Other,Unemployed,55131,Sports,Florence
118,25,Other,Doctor,68733,Travel,Parma
119,55,Other,Unemployed,125892,Politics,Messina
120,65,Male,Teacher,83083,Finance,Venice
121,45,Other,Unemployed,56781,Travel,Messina
122,37,Other,Artist,146286,Politics,Reggio Calabria
123,46,Male,Unemployed,116688,Travel,Palermo
124,49,Male,Artist,129136,Politics,Bari
125,36,Male,Engineer,50220,Technology,Bologna
126,48,Male,Doctor,116222,Sports,Catania
127,35,Male,Artist,114215,Fashion,Parma
128,65,Other,Teacher,131493,Fashion,Modena
129,63,Male,Engineer,139762,Sports,Bologna
