user_id,survey_type,response
2704,Finance,No
13702,Fashion,No
14182,Fashion,No
5394,Sports,Yes
7739,Sports,Yes
19886,Fashion,Neutral
3487,Fashion,Neutral
23363,Finance,Neutral
17895,Finance,No
23763,Fashion,Yes
11504,Technology,Yes
24136,Technology,Neutral
4866,Finance,No
14798,Politics,Neutral
7889,Finance,Neutral
3536,Technology,No
18201,Technology,No
9359,Technology,Neutral
5266,Sports,Neutral
3583,Sports,Neutral
12187,Fashion,No
28450,Travel,Neutral
10040,Sports,Yes
29583,Technology,Neutral
21488,Fashion,Neutral
28592,Sports,Yes
1865,Politics,Neutral
25401,Travel,Yes
20975,Sports,No
10481,Fashion,No
24255,Finance,Yes
6526,Sports,Neutral
1951,Travel,Yes
19423,Travel,Yes
5004,Travel,Neutral
24261,Technology,Yes
12064,Travel,Yes
16523,Sports,Yes
22526,Sports,No
28555,Fashion,Yes
22194,Travel,Yes
5482,Finance,No
11863,Travel,No
5473,Fashion,Neutral
10468,Politics,Yes
3608,Finance,No
13636,Travel,Neutral
24128,Travel,Yes
24971,Politics,Yes
20079,Finance,No
3737,Sports,Neutral
16429,Finance,Yes
20875,Politics,Neutral
5626,Travel,Yes
16879,Travel,No
15812,Finance,Yes
23779,Sports,Neutral
29731,Finance,Neutral
21238,Fashion,Yes
17343,Sports,No
18258,Travel,Neutral
3102,Fashion,Neutral
4173,Politics,Yes
22770,Fashion,Yes
727,Technology,Yes
4281,Technology,Yes
24996,Technology,No
15863,Technology,Neutral
18615,Technology,Yes
1896,Travel,Yes
28623,Sports,Yes
7378,Travel,Neutral
17298,Finance,Neutral
13519,Fashion,Neutral
28303,Politics,No
1910,Travel,Yes
6284,Finance,No
15232,Sports,No
15461,Sports,No
27817,Sports,Neutral
19634,Politics,No
2263,Finance,No
16918,Politics,Yes
29344,Technology,Yes
27083,Fashion,No
7685,Technology,No
2158,Finance,No
5022,Politics,Yes
1929,Fashion,No
299,Sports,Yes
7294,Sports,Neutral
22975,Sports,Neutral
15011,Technology,No
17193,Sports,Neutral
28123,Finance,Yes
25335,Finance,Yes
13467,Technology,Yes
25228,Finance,Neutral
6044,Sports,Neutral
17889,Sports,Neutral
28222,Technology,No
